case,test,case_no,Elev_m,P_MPa,G_kgm2s,Xloc_NFI_COBRA,Qloc_MWm2,Qpred_MWm2,DNBR_NFI,ch,rod,El
WH_108_01.in,108,1,1.651,10.4,3063.0,-0.0026,3.401,3.346,0.984,1,3,33
WH_108_02.in,108,2,1.803,10.4,3015.0,0.0001,3.501,3.389,0.968,1,3,36
WH_108_03.in,108,3,1.854,14.9,3308.0,0.0095,2.752,2.45,0.89,1,3,37
WH_108_04.in,108,4,1.854,14.6,3205.0,-0.002,3.005,2.695,0.897,1,3,37
WH_108_05.in,108,5,1.803,16.6,3304.0,-0.0802,3.086,2.868,0.929,1,3,36
WH_108_06.in,108,6,1.854,16.6,2678.0,-0.085,2.789,2.648,0.949,1,3,37
WH_108_07.in,108,7,1.651,10.4,4408.0,0.0256,3.066,3.578,1.167,1,3,33
WH_108_08.in,108,8,1.651,12.5,4570.0,0.0072,3.263,3.053,0.936,1,3,33
WH_108_09.in,108,9,1.905,12.6,2332.0,-0.006,2.911,2.795,0.96,1,3,38
WH_108_10.in,108,10,1.651,10.4,4548.0,-0.0004,3.467,3.589,1.035,1,3,33
WH_108_11.in,108,11,1.905,10.4,2989.0,-0.0002,3.433,3.358,0.978,1,3,38
WH_108_12.in,108,12,1.905,10.7,2350.0,0.0022,3.154,3.074,0.975,1,3,38
WH_108_13.in,108,13,1.651,10.4,4585.0,0.0151,3.042,3.612,1.187,1,3,33
WH_108_14.in,108,14,1.854,12.5,4598.0,-0.0028,3.264,3.168,0.971,1,3,37
WH_108_15.in,108,15,1.905,12.4,2537.0,-0.0444,3.086,3.157,1.023,1,3,38
WH_108_16.in,108,16,1.905,14.6,2629.0,-0.0977,2.952,3.093,1.048,1,3,38
WH_108_17.in,108,17,1.905,14.6,2623.0,-0.0721,2.843,2.906,1.022,1,3,38
WH_108_18.in,108,18,1.905,14.6,2572.0,-0.0294,2.621,2.568,0.98,1,3,38
WH_108_19.in,108,19,1.854,14.6,3240.0,-0.053,3.151,3.082,0.978,1,3,37
WH_108_20.in,108,20,1.854,14.4,3896.0,-0.0184,3.28,3.024,0.922,1,3,37
WH_108_21.in,108,21,1.854,14.7,3939.0,-0.0124,2.946,2.771,0.941,1,3,37
WH_108_22.in,108,22,1.702,14.4,3958.0,0.0159,2.861,2.506,0.876,1,3,34
WH_108_23.in,108,23,1.803,14.6,4604.0,-0.046,3.866,3.581,0.926,1,3,36
WH_108_24.in,108,24,1.803,14.6,4453.0,0.0013,3.075,2.766,0.9,1,3,36
WH_108_25.in,108,25,1.803,14.4,4601.0,-0.0279,3.468,3.243,0.935,1,3,36
WH_108_26.in,108,26,1.803,16.6,4075.0,-0.0977,3.35,3.237,0.966,1,3,36
WH_108_27.in,108,27,1.803,16.6,4018.0,-0.0496,2.923,2.705,0.925,1,3,36
WH_108_28.in,108,28,1.803,16.6,3980.0,0.0117,2.637,2.181,0.827,1,3,36
WH_108_29.in,108,29,1.803,16.6,4663.0,0.0108,2.817,2.298,0.816,1,3,36
WH_161_01.in,161,1,4.223,14.6,2798.0,0.2339,0.941,1.218,1.294,1,1,48
WH_161_02.in,161,2,4.223,16.6,2820.0,0.2055,0.99,1.243,1.256,1,1,48
WH_161_03.in,161,3,4.223,16.6,2792.0,0.149,1.284,1.499,1.168,1,1,48
WH_161_04.in,161,4,4.223,14.5,2761.0,0.1826,1.189,1.488,1.251,1,1,48
WH_161_05.in,161,5,4.223,15.2,2778.0,0.115,1.392,1.711,1.229,1,1,48
WH_161_06.in,161,6,4.223,16.6,2730.0,0.1188,1.511,1.642,1.087,1,1,48
WH_161_07.in,161,7,4.223,16.6,2796.0,0.0901,1.77,1.777,1.004,1,1,48
WH_161_08.in,161,8,4.223,14.5,2773.0,0.1241,1.399,1.739,1.243,1,1,48
WH_161_09.in,161,9,4.223,14.5,3458.0,0.2113,1.049,1.408,1.342,1,1,48
WH_161_10.in,161,10,4.223,16.6,3499.0,0.18,1.151,1.447,1.257,1,1,48
WH_161_11.in,161,11,4.223,14.5,4179.0,0.1852,1.235,1.666,1.349,1,1,48
WH_161_12.in,161,12,4.223,16.6,4172.0,0.1734,1.326,1.618,1.22,1,1,48
WH_161_13.in,161,13,4.223,14.5,2072.0,0.2433,1.018,1.184,1.163,1,1,48
WH_161_14.in,161,14,4.223,16.6,2062.0,0.219,1.015,1.16,1.143,1,1,48
WH_161_15.in,161,15,4.223,16.6,3466.0,0.128,1.455,1.689,1.161,1,1,48
WH_161_16.in,161,16,4.223,14.5,3452.0,0.1582,1.322,1.706,1.29,1,1,48
WH_161_17.in,161,17,4.223,14.5,2094.0,0.1905,1.196,1.396,1.167,1,1,48
WH_161_18.in,161,18,4.223,16.6,2011.0,0.1816,1.165,1.294,1.111,1,1,48
WH_161_19.in,161,19,4.223,14.5,2068.0,0.1559,1.371,1.568,1.143,1,1,48
WH_161_20.in,161,20,4.223,16.6,2079.0,0.1239,1.459,1.53,1.049,1,1,48
WH_161_21.in,161,21,4.223,10.3,2074.0,0.2697,1.35,1.371,1.015,1,1,48
WH_161_22.in,161,22,4.223,10.3,2800.0,0.1875,1.56,1.778,1.14,1,1,48
WH_161_23.in,161,23,4.223,12.4,2053.0,0.2135,1.263,1.427,1.13,1,1,48
WH_161_24.in,161,24,4.223,12.4,2818.0,0.1551,1.504,1.82,1.21,1,1,48
WH_161_25.in,161,25,4.223,16.6,3416.0,0.0998,1.816,1.861,1.025,1,1,48
WH_161_26.in,161,26,4.223,16.6,4119.0,0.1273,1.721,1.864,1.083,1,1,48
WH_161_27.in,161,27,4.223,16.6,4877.0,0.1984,1.315,1.622,1.233,1,1,48
WH_161_28.in,161,28,4.223,16.6,4897.0,0.1728,1.56,1.797,1.152,1,1,48
WH_161_29.in,161,29,4.223,14.5,4836.0,0.1813,1.354,1.817,1.342,1,1,48
WH_161_30.in,161,30,4.223,14.5,4063.0,0.1612,1.389,1.81,1.303,1,1,48
WH_161_31.in,161,31,4.223,14.5,4852.0,0.1471,1.63,2.071,1.27,1,1,48
WH_161_32.in,161,32,4.223,14.5,4073.0,0.143,1.63,2.003,1.229,1,1,48
WH_161_33.in,161,33,4.223,14.5,3439.0,0.1155,1.62,1.982,1.224,1,1,48
WH_161_34.in,161,34,4.223,14.5,1390.0,0.2858,0.927,0.996,1.074,1,1,48
WH_161_35.in,161,35,4.223,16.6,1392.0,0.2715,0.941,0.989,1.051,1,1,48
WH_161_36.in,161,36,4.223,14.5,2765.0,0.1268,1.595,1.866,1.17,1,1,48
WH_161_37.in,161,37,4.223,14.5,3383.0,0.0986,1.809,2.12,1.172,1,1,48
WH_161_38.in,161,38,4.223,14.4,1338.0,0.2841,1.001,1.054,1.054,1,1,48
WH_161_39.in,161,39,4.223,16.6,1351.0,0.2602,1.049,1.072,1.021,1,1,48
WH_161_40.in,161,40,4.223,14.5,2791.0,0.1065,1.704,1.972,1.158,1,1,48
WH_161_41.in,161,41,4.223,14.5,1407.0,0.2405,1.158,1.228,1.061,1,1,48
WH_161_42.in,161,42,4.223,16.6,1415.0,0.1988,1.189,1.217,1.023,1,1,48
WH_161_43.in,161,43,4.223,14.5,2177.0,0.1141,1.487,1.723,1.159,1,1,48
WH_161_44.in,161,44,4.223,16.6,2173.0,0.1336,1.581,1.596,1.009,1,1,48
WH_161_45.in,161,45,4.223,16.6,3456.0,0.1201,1.648,1.786,1.084,1,1,48
WH_161_46.in,161,46,4.223,12.4,2040.0,0.2725,1.06,1.164,1.098,1,1,48
WH_161_47.in,161,47,4.223,12.4,2787.0,0.205,1.175,1.455,1.238,1,1,48
WH_161_48.in,161,48,4.223,12.4,3421.0,0.1909,1.329,1.671,1.257,1,1,48
WH_161_49.in,161,49,4.223,12.4,4152.0,0.1364,1.609,2.097,1.303,1,1,48
WH_161_50.in,161,50,4.223,10.4,2012.0,0.3099,1.126,1.105,0.981,1,1,48
WH_161_51.in,161,51,4.223,10.4,2795.0,0.2259,1.319,1.484,1.125,1,1,48
WH_161_52.in,161,52,4.223,10.4,3462.0,0.1991,1.469,1.727,1.175,1,1,48
WH_161_53.in,161,53,4.223,10.4,4152.0,0.1636,1.697,2.077,1.224,1,1,48
WH_161_54.in,161,54,4.223,10.4,4791.0,0.1666,1.749,2.163,1.237,1,1,48
WH_161_55.in,161,55,4.223,12.4,4783.0,0.126,1.798,2.327,1.294,1,1,48
WH_161_56.in,161,56,4.223,10.4,1428.0,0.3588,1.07,0.982,0.917,1,1,48
WH_161_57.in,161,57,4.223,12.4,1378.0,0.3359,0.987,0.98,0.993,1,1,48
WH_161_58.in,161,58,4.223,10.4,3468.0,0.1608,1.746,2.059,1.18,1,1,48
WH_161_59.in,161,59,4.223,12.4,3455.0,0.1428,1.669,2.044,1.225,1,1,48
WH_161_60.in,161,60,4.223,12.4,4176.0,0.1749,1.466,1.89,1.289,1,1,48
WH_161_61.in,161,61,4.223,12.4,4849.0,0.1528,1.63,2.14,1.313,1,1,48
WH_161_62.in,161,62,4.223,10.3,4929.0,0.1978,1.595,1.939,1.216,1,1,48
WH_161_63.in,161,63,4.223,10.4,4230.0,0.2286,1.476,1.692,1.146,1,1,48
WH_161_64.in,161,64,4.223,10.3,1376.0,0.3465,1.126,1.047,0.93,1,1,48
WH_161_65.in,161,65,4.223,12.4,1341.0,0.2813,1.084,1.123,1.036,1,1,48
WH_161_66.in,161,66,4.223,12.4,2028.0,0.1748,1.427,1.619,1.134,1,1,48
WH_161_67.in,161,67,4.223,10.4,2038.0,0.2482,1.48,1.521,1.028,1,1,48
WH_161_68.in,161,68,4.223,12.4,2732.0,0.1297,1.669,1.986,1.19,1,1,48
WH_161_69.in,161,69,4.223,10.3,2730.0,0.1731,1.644,1.875,1.14,1,1,48
WH_161_70.in,161,70,4.223,14.4,2772.0,0.1829,1.193,1.493,1.252,1,1,48
WH_161_71.in,161,71,4.223,14.5,2788.0,0.1566,1.427,1.704,1.194,1,1,48
WH_164_01.in,164,1,2.267,14.5,2004.0,-0.0665,1.801,2.074,1.151,1,3,26
WH_164_02.in,164,2,2.445,14.5,2659.0,-0.0491,2.071,2.298,1.11,1,3,28
WH_164_03.in,164,3,2.623,14.5,3378.0,-0.0358,2.37,2.501,1.056,1,3,30
WH_164_04.in,164,4,2.711,16.5,1951.0,-0.0152,1.603,1.622,1.012,1,3,31
WH_164_05.in,164,5,2.889,16.6,2600.0,0.014,1.862,1.784,0.958,1,3,33
WH_164_06.in,164,6,3.067,16.6,3376.0,0.0108,1.979,1.913,0.967,1,3,35
WH_164_07.in,164,7,2.356,16.6,1971.0,-0.0262,1.511,1.61,1.065,1,3,27
WH_164_08.in,164,8,2.623,16.7,2711.0,-0.0056,1.77,1.772,1.001,1,3,30
WH_164_09.in,164,9,2.711,16.6,3380.0,-0.0125,1.982,1.98,0.999,1,1,31
WH_164_10.in,164,10,2.889,16.6,4059.0,0.0206,2.157,2.022,0.938,1,3,33
WH_164_11.in,164,11,3.156,14.6,1953.0,0.224,1.005,1.214,1.208,1,3,36
WH_164_12.in,164,12,2.0,14.6,2819.0,-0.0809,1.752,2.318,1.323,1,3,23
WH_164_13.in,164,13,2.267,14.5,3447.0,-0.0478,2.056,2.454,1.193,1,3,26
WH_164_14.in,164,14,2.445,14.6,4048.0,-0.0239,2.375,2.535,1.067,1,3,28
WH_164_15.in,164,15,2.445,14.5,4672.0,-0.0204,2.504,2.651,1.059,1,3,28
WH_164_16.in,164,16,2.711,16.5,4712.0,0.0038,2.315,2.207,0.953,1,3,31
WH_164_17.in,164,17,2.0,16.6,2742.0,-0.0508,1.517,1.814,1.196,1,3,23
WH_164_18.in,164,18,2.089,16.6,3354.0,-0.0228,1.742,1.913,1.098,1,3,24
WH_164_19.in,164,19,2.267,16.6,4074.0,-0.0088,1.982,2.025,1.022,1,3,26
WH_164_20.in,164,20,2.445,16.5,4772.0,0.0021,2.143,2.125,0.991,1,3,28
WH_164_21.in,164,21,2.889,14.5,2734.0,0.1697,1.108,1.568,1.415,1,3,33
WH_164_22.in,164,22,2.445,14.4,3401.0,0.0796,1.649,2.26,1.371,1,3,28
WH_164_23.in,164,23,2.356,14.6,4086.0,0.0694,1.826,2.426,1.329,1,3,27
WH_164_24.in,164,24,2.178,14.5,4790.0,0.0228,2.054,2.664,1.297,1,3,25
WH_164_25.in,164,25,4.223,12.4,2818.0,0.2546,0.41,0.559,1.363,1,3,48
WH_164_26.in,164,26,2.889,12.4,3501.0,0.1356,1.378,2.023,1.468,1,3,33
WH_164_27.in,164,27,2.623,12.4,4085.0,0.0983,1.692,2.525,1.493,1,3,30
WH_164_28.in,164,28,2.445,12.4,4744.0,0.0684,2.03,2.927,1.442,1,3,28
WH_164_29.in,164,29,2.889,10.4,4719.0,0.14,1.613,2.352,1.458,1,3,33
WH_164_30.in,164,30,4.223,10.3,2828.0,0.2956,0.445,0.504,1.133,1,3,48
WH_164_31.in,164,31,4.223,10.3,3534.0,0.2506,0.484,0.618,1.277,1,3,48
WH_164_32.in,164,32,3.156,10.4,4148.0,0.1764,1.303,1.799,1.381,1,3,36
WH_164_33.in,164,33,4.223,10.4,2040.0,0.3377,0.43,0.438,1.018,1,3,48
WH_164_34.in,164,34,4.223,10.3,2853.0,0.2581,0.511,0.61,1.193,1,3,48
WH_164_35.in,164,35,3.423,10.3,3471.0,0.176,1.169,1.53,1.309,1,3,39
WH_164_36.in,164,36,2.889,10.4,4064.0,0.1101,1.874,2.564,1.368,1,3,33
WH_164_37.in,164,37,2.623,10.4,4795.0,0.0649,2.301,3.233,1.405,1,3,30
WH_164_38.in,164,38,4.223,12.4,2036.0,0.2902,0.417,0.498,1.194,1,3,48
WH_164_39.in,164,39,3.156,12.4,2751.0,0.1504,1.307,1.727,1.322,1,3,36
WH_164_40.in,164,40,2.356,12.4,3362.0,0.0123,2.167,2.888,1.333,1,3,27
WH_164_41.in,164,41,2.0,12.5,4029.0,-0.0583,2.307,3.049,1.322,1,3,23
WH_164_42.in,164,42,2.178,12.4,4751.0,-0.044,2.588,3.184,1.231,1,3,25
WH_164_43.in,164,43,2.445,14.5,4005.0,-0.0453,2.344,2.604,1.111,1,3,28
WH_164_44.in,164,44,2.267,12.4,4130.0,-0.0536,2.535,3.092,1.22,1,3,26
WH_164_45.in,164,45,4.223,10.3,2039.0,0.2982,0.493,0.529,1.074,1,3,48
WH_164_46.in,164,46,4.223,10.4,2724.0,0.2433,0.597,0.703,1.178,1,3,48
WH_164_47.in,164,47,3.156,10.3,3402.0,0.1207,1.687,2.193,1.3,1,3,36
WH_164_48.in,164,48,2.356,10.3,3984.0,-0.0027,2.729,3.565,1.307,1,3,27
WH_164_49.in,164,49,4.223,12.4,2056.0,0.2551,0.494,0.597,1.208,1,3,48
WH_164_50.in,164,50,2.0,12.4,2680.0,-0.08,2.254,2.796,1.241,1,3,23
WH_164_51.in,164,51,2.356,12.5,3417.0,-0.0594,2.493,2.945,1.182,1,3,27
WH_164_52.in,164,52,4.223,12.3,2048.0,0.2623,0.549,0.642,1.169,1,3,48
WH_164_53.in,164,53,2.267,12.5,2647.0,-0.0526,2.482,2.77,1.116,1,3,26
WH_164_54.in,164,54,2.978,16.6,1955.0,0.0072,1.685,1.637,0.972,1,3,34
WH_164_55.in,164,55,3.067,16.6,2606.0,0.0199,1.914,1.827,0.955,1,3,35
WH_164_56.in,164,56,2.623,16.6,1327.0,-0.026,1.448,1.449,1.001,1,3,30
WH_164_57.in,164,57,2.445,14.5,1334.0,-0.0538,1.7,1.799,1.058,1,3,28
WH_164_58.in,164,58,2.978,16.6,1914.0,-0.0025,1.745,1.698,0.973,1,3,34
WH_164_59.in,164,59,2.8,15.2,1939.0,-0.035,1.849,1.908,1.032,1,3,32
WH_164_60.in,164,60,4.223,14.4,1417.0,0.3006,0.422,0.485,1.15,1,3,48
WH_164_61.in,164,61,4.223,12.4,1420.0,0.2942,0.438,0.49,1.12,1,3,48
WH_164_62.in,164,62,4.223,10.4,1395.0,0.3843,0.451,0.427,0.948,1,3,48
WH_164_63.in,164,63,4.223,12.4,2022.0,0.2398,0.564,0.671,1.191,1,3,48
WH_164_64.in,164,64,4.223,10.4,2022.0,0.2759,0.574,0.625,1.089,1,3,48
WH_164_65.in,164,65,2.356,12.4,2659.0,-0.0799,2.44,2.836,1.162,1,3,27
WH_164_66.in,164,66,4.223,10.4,2710.0,0.2279,0.685,0.801,1.169,1,3,48
WH_164_67.in,164,67,2.889,10.4,3323.0,0.0767,2.144,2.749,1.282,1,3,33
WH_164_68.in,164,68,4.223,12.4,1404.0,0.2875,0.468,0.521,1.113,1,3,48
WH_164_69.in,164,69,4.223,10.4,1400.0,0.3674,0.494,0.478,0.968,1,3,48
WH_164_70.in,164,70,2.889,16.5,1331.0,0.0249,1.442,1.407,0.976,1,3,33
WH_164_71.in,164,71,2.623,14.6,3973.0,-0.002,2.53,2.533,1.001,1,3,30
WH_164_72.in,164,72,2.445,14.5,2739.0,-0.053,2.071,2.321,1.121,1,3,28
WH_164_73.in,164,73,2.178,14.5,1946.0,-0.0621,1.814,2.053,1.132,1,3,25
WH_164_74.in,164,74,2.267,14.5,1958.0,-0.0518,1.844,2.065,1.12,1,3,26
